days,date,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Followers gained,Views gained
3d,3/04/19,World of Warcraft,"85,937,040",4233480,50379,2393,13991,19892,979,20.3,20400,2469701
3d,3/04/19,Tom Clancy's The Division 2,"74,039,880",3022980,129461,1335,15174,17138,699,24.49,18846,2249322
3d,3/04/19,FIFA 19,"55,763,640",1856880,48426,845,9822,12908,429,30.03,26747,846841
3d,3/04/19,Call of Duty: Black Ops 4,"54,712,440",5553060,76053,2205,23765,12664,1285,9.85,28789,928687
3d,3/04/19,Dead by Daylight,"46,921,140",2249760,31416,725,9701,10861,520,20.86,14816,714903
3d,3/04/19,Old School RuneScape,"45,264,360",763680,26818,271,2680,10477,176,59.27,14276,551280
3d,3/04/19,Sea of Thieves,"42,378,720",1165620,34927,454,4175,9809,269,36.36,8642,469026
3d,3/04/19,Minecraft,"42,159,360",2468100,38962,921,11642,9759,571,17.08,28469,883302
3d,3/04/19,Tom Clancy's Rainbow Six: Siege,"40,616,640",4718700,17557,1714,25511,9402,1092,8.61,34961,747991
3d,3/04/19,Always On,"40,102,200",59700,14159,16,19,9282,13,671.73,6766,1991488
3d,3/04/19,Pogostuck: Rage With Your Friends,"36,250,320",77280,42932,39,414,8391,17,469.08,3787,498782
3d,3/04/19,Magic: The Gathering,"35,318,760",507960,22601,173,2126,8175,117,69.53,10075,532275
3d,3/04/19,Anthem,"30,191,820",2492880,14242,846,10005,6988,577,12.11,9173,632947
3d,3/04/19,Music & Performing Arts,"28,911,660",1383960,11154,403,3431,6692,320,20.89,13700,484173
3d,3/04/19,Games + Demos,"28,643,700",276660,22592,96,1419,6630,64,103.53,2545,528108
3d,3/04/19,Art,"28,639,560",1553160,13268,494,6981,6629,359,18.44,15973,618899
3d,3/04/19,Super Smash Bros. Ultimate,"28,403,100",825600,26529,439,3734,6574,191,34.4,14344,384217
3d,3/04/19,Subnautica,"27,380,340",302400,26474,121,1389,6338,70,90.54,3071,351091
