days,date,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Followers gained,Views gained
30d,3/07/19,Fortnite,"5,470,000,000","453,000,000","658,887","22,269","833,125","126,530","10,478",12,"5,442,620","89,554,221"
30d,3/07/19,Counter-Strike: Global Offensive,"3,360,000,000","46,852,380","833,440","2,204","123,919","77,878","1,084",72,"1,127,260","79,877,888"
30d,3/07/19,Just Chatting,"3,350,000,000","47,382,900","211,835","2,336","126,922","77,440","1,096",71,"1,769,158","84,732,697"
30d,3/07/19,Dota 2,"3,090,000,000","33,587,340","272,771","1,460","45,942","71,610",777,92,"489,128","56,056,773"
30d,3/07/19,Overwatch,"1,730,000,000","44,916,420","289,347","1,830","104,370","39,958","1,039",38,"491,031","28,521,110"
30d,3/07/19,World of Warcraft,"1,100,000,000","42,677,280","211,037","2,666","47,344","25,545",987,26,"253,649","26,664,374"
30d,3/07/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"1,080,000,000","47,499,300","86,616","2,260","75,738","25,046","1,099",23,"579,983","26,748,944"
30d,3/07/19,Hearthstone,"941,000,000","7,937,460","79,114",292,"15,876","21,790",183,119,"160,733","16,452,337"
30d,3/07/19,Grand Theft Auto V,"846,000,000","22,856,100","76,912","1,159","49,477","19,592",529,37,"364,609","14,365,823"
30d,3/07/19,Tom Clancy's Rainbow Six: Siege,"681,000,000","39,248,700","223,099","1,714","113,252","15,752",908,17,"372,326","10,134,270"
30d,3/07/19,FIFA 19,"656,000,000","15,976,200","92,237",991,"45,503","15,188",369,41,"283,173","10,127,738"
30d,3/07/19,Call of Duty: Black Ops 4,"639,000,000","52,227,660","141,895","2,679","103,501","14,780","1,208",12,"298,975","10,813,209"
30d,3/07/19,Anthem,"528,000,000","24,779,340","145,975","3,940","46,606","12,212",573,21,"114,919","11,268,460"
30d,3/07/19,StarCraft II,"449,000,000","3,932,400","69,828",156,"6,278","10,389",91,114,"81,163","14,818,959"
30d,3/07/19,Dead by Daylight,"448,000,000","22,292,280","50,797",856,"38,504","10,378",516,20,"149,322","7,057,638"
30d,3/07/19,Resident Evil 2,"421,000,000","19,822,080","40,603","1,422","53,648","9,737",458,21,"108,222","8,188,428"
30d,3/07/19,Old School RuneScape,"418,000,000","7,184,460","34,040",271,"11,144","9,680",166,58,"122,030","4,815,182"
30d,3/07/19,Metro Exodus,"398,000,000","9,767,940","154,978","1,593","22,337","9,201",226,41,"206,604","7,140,700"
30d,3/07/19,Super Smash Bros. Ultimate,"390,000,000","7,292,100","168,665",462,"14,365","9,023",168,53,"168,289","6,146,797"
30d,3/07/19,Minecraft,"382,000,000","21,325,560","82,949",921,"55,185","8,849",493,18,"224,731","7,106,308"
30d,3/07/19,Magic: The Gathering,"381,000,000","5,407,080","60,503",266,"9,101","8,829",125,71,"80,680","6,099,659"
30d,3/07/19,Sea of Thieves,"365,000,000","12,034,980","55,263",811,"23,276","8,447",278,30,"87,213","4,346,336"
30d,3/07/19,Music & Performing Arts,"341,000,000","12,967,320","32,127",421,"14,143","7,891",300,26,"187,008","5,301,882"
30d,3/07/19,Talk Shows & Podcasts,"324,000,000","4,219,500","126,696",609,"13,570","7,495",97,77,"70,153","14,018,171"
30d,3/07/19,Slots,"277,000,000","2,386,080","44,412",109,"3,046","6,401",55,116,"44,140","2,666,321"
30d,3/07/19,Poker,"267,000,000","3,742,620","31,582",214,"3,744","6,184",86,71,"61,954","5,207,872"
30d,3/07/19,Art,"255,000,000","15,379,920","16,357",571,"27,590","5,904",356,17,"156,643","6,007,841"
30d,3/07/19,Tom Clancy's The Division 2,"247,000,000","9,002,760","129,461","2,653","36,764","5,708",208,27,"59,835","7,667,383"
30d,3/07/19,Rocket League,"238,000,000","14,826,480","62,205",685,"56,537","5,509",343,16,"154,878","5,197,355"
30d,3/07/19,World of Tanks,"210,000,000","8,016,960","19,646",466,"10,557","4,868",185,26,"54,553","4,291,083"
30d,3/07/19,Path of Exile,"205,000,000","4,337,220","21,449",208,"6,227","4,739",100,47,"27,415","3,274,209"
30d,3/07/19,Games + Demos,"173,000,000","2,236,200","28,364",96,"7,168","4,012",51,78,"22,215","3,360,204"
30d,3/07/19,Escape From Tarkov,"170,000,000","9,687,540","27,671",421,"10,814","3,946",224,18,"56,328","3,344,371"
30d,3/07/19,Black Desert Online,"164,000,000","7,339,260","8,983",256,"8,278","3,800",169,22,"43,971","3,600,040"
30d,3/07/19,Warcraft III: The Frozen Throne,"162,000,000","2,100,360","38,299",96,"2,294","3,743",48,77,"14,015","2,208,583"
30d,3/07/19,ASMR,"159,000,000","2,174,040","10,028",71,"1,584","3,687",50,73,"45,019","1,661,135"
30d,3/07/19,Destiny 2,"155,000,000","15,742,500","33,877","1,691","30,951","3,584",364,10,"65,630","2,538,124"
30d,3/07/19,ATLAS,"142,000,000","3,583,680","10,198",190,"3,087","3,281",82,40,"22,787","1,684,307"
30d,3/07/19,Far Cry: New Dawn,"138,000,000","3,499,320","54,881",558,"11,256","3,205",81,40,"30,178","3,555,876"
30d,3/07/19,NBA 2K19,"138,000,000","14,107,680","43,230",708,"34,791","3,205",326,10,"109,593","1,455,807"
30d,3/07/19,Sid Meier's Civilization VI,"126,000,000","1,876,560","68,833",170,"4,235","2,921",43,67,"16,919","2,788,009"
30d,3/07/19,Heroes of Might and Magic III: The Shadow of Death,"121,000,000","737,160","18,632",44,803,"2,802",17,164,"14,565","2,264,369"
30d,3/07/19,Always On,"119,000,000","414,600","20,304",16,28,"2,747",9,286,"16,290","5,420,190"
30d,3/07/19,Kingdom Hearts III,"116,000,000","7,587,900","16,463",993,"13,885","2,688",175,15,"25,804","2,713,788"
30d,3/07/19,Tetris,"116,000,000","1,299,060","53,346",176,"5,937","2,676",30,89,"37,370","1,841,003"
30d,3/07/19,Smite,"114,000,000","6,810,900","10,306",317,"13,132","2,636",157,17,"28,941","1,606,880"
30d,3/07/19,Dungeons & Dragons,"106,000,000","2,364,480","56,390",221,"3,914","2,451",54,45,"22,401","2,820,852"
30d,3/07/19,Dark Souls III,"106,000,000","5,578,020","18,803",219,"13,572","2,447",129,19,"26,214","2,130,493"
30d,3/08/19,Apex Legends,"8,250,000,000","383,000,000","666,868","18,932","714,892","190,903","8,868",22,"3,316,483","152,000,000"
30d,3/08/19,League of Legends,"5,910,000,000","112,000,000","387,330","4,118","171,733","136,783","2,587",53,"1,598,171","121,000,000"
30d,3/08/19,Fortnite,"5,470,000,000","453,000,000","658,887","22,269","833,125","126,530","10,478",12,"5,442,620","89,554,221"
30d,3/08/19,Counter-Strike: Global Offensive,"3,360,000,000","46,852,380","833,440","2,204","123,919","77,878","1,084",72,"1,127,260","79,877,888"
30d,3/08/19,Just Chatting,"3,350,000,000","47,382,900","211,835","2,336","126,922","77,440","1,096",71,"1,769,158","84,732,697"
30d,3/08/19,Dota 2,"3,090,000,000","33,587,340","272,771","1,460","45,942","71,610",777,92,"489,128","56,056,773"
30d,3/08/19,Overwatch,"1,730,000,000","44,916,420","289,347","1,830","104,370","39,958","1,039",38,"491,031","28,521,110"
30d,3/08/19,World of Warcraft,"1,100,000,000","42,677,280","211,037","2,666","47,344","25,545",987,26,"253,649","26,664,374"
30d,3/08/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"1,080,000,000","47,499,300","86,616","2,260","75,738","25,046","1,099",23,"579,983","26,748,944"
30d,3/08/19,Hearthstone,"941,000,000","7,937,460","79,114",292,"15,876","21,790",183,119,"160,733","16,452,337"
30d,3/08/19,Grand Theft Auto V,"846,000,000","22,856,100","76,912","1,159","49,477","19,592",529,37,"364,609","14,365,823"
30d,3/08/19,Tom Clancy's Rainbow Six: Siege,"681,000,000","39,248,700","223,099","1,714","113,252","15,752",908,17,"372,326","10,134,270"
30d,3/08/19,FIFA 19,"656,000,000","15,976,200","92,237",991,"45,503","15,188",369,41,"283,173","10,127,738"
30d,3/08/19,Call of Duty: Black Ops 4,"639,000,000","52,227,660","141,895","2,679","103,501","14,780","1,208",12,"298,975","10,813,209"
30d,3/08/19,Anthem,"528,000,000","24,779,340","145,975","3,940","46,606","12,212",573,21,"114,919","11,268,460"
30d,3/08/19,StarCraft II,"449,000,000","3,932,400","69,828",156,"6,278","10,389",91,114,"81,163","14,818,959"
30d,3/08/19,Dead by Daylight,"448,000,000","22,292,280","50,797",856,"38,504","10,378",516,20,"149,322","7,057,638"
30d,3/08/19,Resident Evil 2,"421,000,000","19,822,080","40,603","1,422","53,648","9,737",458,21,"108,222","8,188,428"
30d,3/08/19,Old School RuneScape,"418,000,000","7,184,460","34,040",271,"11,144","9,680",166,58,"122,030","4,815,182"
30d,3/08/19,Metro Exodus,"398,000,000","9,767,940","154,978","1,593","22,337","9,201",226,41,"206,604","7,140,700"
30d,3/08/19,Super Smash Bros. Ultimate,"390,000,000","7,292,100","168,665",462,"14,365","9,023",168,53,"168,289","6,146,797"
30d,3/08/19,Minecraft,"382,000,000","21,325,560","82,949",921,"55,185","8,849",493,18,"224,731","7,106,308"
30d,3/08/19,Magic: The Gathering,"381,000,000","5,407,080","60,503",266,"9,101","8,829",125,71,"80,680","6,099,659"
30d,3/08/19,Sea of Thieves,"365,000,000","12,034,980","55,263",811,"23,276","8,447",278,30,"87,213","4,346,336"
30d,3/08/19,Music & Performing Arts,"341,000,000","12,967,320","32,127",421,"14,143","7,891",300,26,"187,008","5,301,882"
30d,3/08/19,Talk Shows & Podcasts,"324,000,000","4,219,500","126,696",609,"13,570","7,495",97,77,"70,153","14,018,171"
30d,3/08/19,Slots,"277,000,000","2,386,080","44,412",109,"3,046","6,401",55,116,"44,140","2,666,321"
30d,3/08/19,Poker,"267,000,000","3,742,620","31,582",214,"3,744","6,184",86,71,"61,954","5,207,872"
30d,3/08/19,Art,"255,000,000","15,379,920","16,357",571,"27,590","5,904",356,17,"156,643","6,007,841"
30d,3/08/19,Tom Clancy's The Division 2,"247,000,000","9,002,760","129,461","2,653","36,764","5,708",208,27,"59,835","7,667,383"
30d,3/08/19,Rocket League,"238,000,000","14,826,480","62,205",685,"56,537","5,509",343,16,"154,878","5,197,355"
30d,3/08/19,World of Tanks,"210,000,000","8,016,960","19,646",466,"10,557","4,868",185,26,"54,553","4,291,083"
30d,3/08/19,Path of Exile,"205,000,000","4,337,220","21,449",208,"6,227","4,739",100,47,"27,415","3,274,209"
30d,3/08/19,Games + Demos,"173,000,000","2,236,200","28,364",96,"7,168","4,012",51,78,"22,215","3,360,204"
30d,3/08/19,Escape From Tarkov,"170,000,000","9,687,540","27,671",421,"10,814","3,946",224,18,"56,328","3,344,371"
30d,3/08/19,Black Desert Online,"164,000,000","7,339,260","8,983",256,"8,278","3,800",169,22,"43,971","3,600,040"
30d,3/08/19,Warcraft III: The Frozen Throne,"162,000,000","2,100,360","38,299",96,"2,294","3,743",48,77,"14,015","2,208,583"
30d,3/08/19,ASMR,"159,000,000","2,174,040","10,028",71,"1,584","3,687",50,73,"45,019","1,661,135"
30d,3/08/19,Destiny 2,"155,000,000","15,742,500","33,877","1,691","30,951","3,584",364,10,"65,630","2,538,124"
30d,3/08/19,ATLAS,"142,000,000","3,583,680","10,198",190,"3,087","3,281",82,40,"22,787","1,684,307"
30d,3/08/19,Far Cry: New Dawn,"138,000,000","3,499,320","54,881",558,"11,256","3,205",81,40,"30,178","3,555,876"
30d,3/08/19,NBA 2K19,"138,000,000","14,107,680","43,230",708,"34,791","3,205",326,10,"109,593","1,455,807"
30d,3/08/19,Sid Meier's Civilization VI,"126,000,000","1,876,560","68,833",170,"4,235","2,921",43,67,"16,919","2,788,009"
30d,3/08/19,Heroes of Might and Magic III: The Shadow of Death,"121,000,000","737,160","18,632",44,803,"2,802",17,164,"14,565","2,264,369"
30d,3/08/19,Always On,"119,000,000","414,600","20,304",16,28,"2,747",9,286,"16,290","5,420,190"
30d,3/08/19,Kingdom Hearts III,"116,000,000","7,587,900","16,463",993,"13,885","2,688",175,15,"25,804","2,713,788"
30d,3/08/19,Tetris,"116,000,000","1,299,060","53,346",176,"5,937","2,676",30,89,"37,370","1,841,003"
30d,3/08/19,Smite,"114,000,000","6,810,900","10,306",317,"13,132","2,636",157,17,"28,941","1,606,880"
30d,3/08/19,Dungeons & Dragons,"106,000,000","2,364,480","56,390",221,"3,914","2,451",54,45,"22,401","2,820,852"
30d,3/08/19,Dark Souls III,"106,000,000","5,578,020","18,803",219,"13,572","2,447",129,19,"26,214","2,130,493"
30d,3/10/19,Apex Legends,"7,660,000,000","380,000,000","666,868","18,932","707,716","177,388","8,786",20,"3,239,133","141,000,000"
30d,3/10/19,League of Legends,"6,090,000,000","112,000,000","387,330","3,947","170,260","140,979","2,583",55,"1,620,871","125,000,000"
30d,3/10/19,Fortnite,"5,620,000,000","465,000,000","658,887","23,114","839,584","130,145","10,752",12,"5,694,415","94,565,923"
30d,3/10/19,Just Chatting,"3,380,000,000","48,510,540","211,835","2,336","128,972","78,277","1,122",70,"1,843,795","85,483,869"
30d,3/10/19,Counter-Strike: Global Offensive,"3,270,000,000","47,553,480","833,440","2,434","124,369","75,736","1,100",69,"1,108,897","77,157,856"
30d,3/10/19,Dota 2,"3,050,000,000","33,736,620","272,771","1,460","46,162","70,624",780,90,"487,903","56,059,757"
30d,3/10/19,Overwatch,"1,860,000,000","44,868,420","289,347","1,748","102,908","43,009","1,038",41,"498,262","29,955,682"
30d,3/10/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"1,100,000,000","46,585,080","113,196","1,770","71,318","25,359","1,078",24,"599,060","28,266,135"
30d,3/10/19,Hearthstone,"934,000,000","7,864,140","79,114",290,"15,704","21,616",182,119,"159,804","16,081,341"
30d,3/10/19,World of Warcraft,"911,000,000","42,311,520","65,908","2,666","46,960","21,097",979,22,"215,937","22,502,673"
30d,3/10/19,Grand Theft Auto V,"884,000,000","23,478,660","76,912","1,211","50,489","20,461",543,38,"377,086","14,990,753"
30d,3/10/19,Tom Clancy's Rainbow Six: Siege,"743,000,000","41,397,660","223,099","2,113","115,091","17,198",958,18,"411,549","11,080,861"
30d,3/10/19,FIFA 19,"662,000,000","16,127,760","92,237",991,"45,406","15,327",373,41,"282,038","10,250,871"
30d,3/10/19,Call of Duty: Black Ops 4,"611,000,000","51,108,360","141,895","2,290","100,313","14,150","1,183",12,"293,273","10,546,589"
30d,3/10/19,Anthem,"552,000,000","26,550,540","145,975","3,940","47,782","12,766",614,21,"126,344","11,701,373"
30d,3/10/19,Dead by Daylight,"448,000,000","22,099,860","50,797",878,"37,980","10,379",511,20,"147,241","7,098,043"
30d,3/10/19,StarCraft II,"439,000,000","3,994,020","69,828",156,"6,346","10,167",92,110,"79,642","13,692,118"
30d,3/10/19,Old School RuneScape,"421,000,000","7,207,980","34,040",271,"11,151","9,734",166,58,"121,396","4,934,573"
30d,3/10/19,Metro Exodus,"413,000,000","10,384,860","154,978","1,593","23,472","9,554",240,40,"209,881","7,547,821"
30d,3/10/19,Super Smash Bros. Ultimate,"388,000,000","7,282,620","96,871",462,"14,081","8,983",168,53,"180,356","6,235,684"
30d,3/10/19,Minecraft,"376,000,000","21,814,620","82,949",969,"56,644","8,705",504,17,"246,756","7,046,693"
30d,3/10/19,Magic: The Gathering,"374,000,000","5,254,800","60,503",217,"8,924","8,651",121,71,"77,305","5,912,398"
30d,3/10/19,Sea of Thieves,"369,000,000","11,587,560","57,195",716,"21,339","8,540",268,32,"92,149","4,601,766"
30d,3/10/19,Music & Performing Arts,"354,000,000","13,239,840","32,127",438,"14,360","8,186",306,27,"185,401","5,207,870"
30d,3/10/19,Resident Evil 2,"342,000,000","16,140,480","40,603","1,011","44,966","7,924",373,21,"88,218","6,849,653"
30d,3/10/19,Talk Shows & Podcasts,"330,000,000","4,312,320","126,696",609,"13,788","7,634",99,76,"74,613","14,506,495"
30d,3/10/19,Path of Exile,"311,000,000","6,297,660","99,134","2,922","9,612","7,196",145,49,"45,841","5,044,211"
30d,3/10/19,Slots,"271,000,000","2,343,840","36,417",97,"2,976","6,267",54,116,"45,954","2,418,468"
30d,3/10/19,Poker,"269,000,000","3,750,180","31,582",214,"3,715","6,236",86,72,"62,929","5,314,054"
30d,3/10/19,Rocket League,"254,000,000","15,320,820","62,205",720,"58,023","5,880",354,17,"160,722","5,322,612"
30d,3/10/19,Art,"249,000,000","15,568,680","13,910",571,"27,927","5,763",360,16,"151,960","5,490,385"
30d,3/10/19,Devil May Cry 5,"239,000,000","5,485,320","140,428","2,636","18,960","5,543",126,44,"40,782","4,367,316"
30d,3/10/19,World of Tanks,"207,000,000","7,961,520","19,646",466,"10,439","4,780",184,26,"52,178","4,239,378"
30d,3/10/19,Tom Clancy's The Division 2,"179,000,000","7,020,780","129,461","1,580","29,697","4,135",162,25,"42,555","5,209,403"
30d,3/10/19,Games + Demos,"178,000,000","2,292,780","28,364",112,"7,375","4,130",53,78,"21,961","3,432,101"
30d,3/10/19,Destiny 2,"177,000,000","16,601,820","33,877","1,691","31,354","4,104",384,11,"68,692","2,673,263"
30d,3/10/19,Warcraft III: The Frozen Throne,"171,000,000","2,176,500","38,299",97,"2,370","3,957",50,79,"14,978","2,373,863"
30d,3/10/19,Escape From Tarkov,"171,000,000","9,660,060","27,671",437,"10,487","3,955",223,18,"56,028","3,312,523"
30d,3/10/19,Black Desert Online,"170,000,000","7,493,280","13,922",256,"8,526","3,946",173,23,"44,482","3,770,474"
30d,3/10/19,ASMR,"158,000,000","2,174,820","10,028",71,"1,593","3,656",50,73,"56,799","1,602,838"
30d,3/10/19,Far Cry: New Dawn,"142,000,000","3,746,820","54,881",558,"11,931","3,278",86,38,"31,259","3,654,470"
30d,3/10/19,Always On,"141,000,000","443,340","20,304",16,30,"3,262",10,318,"20,803","6,520,237"
30d,3/10/19,NBA 2K19,"136,000,000","14,379,540","43,230",708,"35,349","3,144",332,9,"110,595","1,472,352"
30d,3/10/19,Sid Meier's Civilization VI,"130,000,000","2,044,680","68,833",170,"4,535","3,006",47,64,"17,791","2,836,728"
30d,3/10/19,ATLAS,"129,000,000","3,188,160","10,198",190,"2,719","2,990",73,41,"19,733","1,519,512"
30d,3/10/19,Tetris,"119,000,000","1,366,140","53,346",176,"6,173","2,756",31,87,"38,530","1,904,947"
30d,3/10/19,Dungeons & Dragons,"118,000,000","2,428,320","64,017",221,"3,989","2,736",56,49,"24,899","2,914,879"
30d,3/10/19,Smite,"117,000,000","7,077,420","10,306",342,"13,457","2,718",163,17,"30,313","1,654,394"
30d,3/10/19,Heroes of Might and Magic III: The Shadow of Death,"115,000,000","734,760","13,376",44,805,"2,660",17,156,"14,144","2,122,183"
30d,3/10/19,Dark Souls III,"109,000,000","5,666,820","18,803",219,"13,511","2,533",131,19,"25,902","2,184,871"
30d,3/11/19,Apex Legends,"7,470,000,000","374,000,000","666,868","18,932","699,048","172,950","8,650",20,"3,147,249","137,000,000"
30d,3/11/19,League of Legends,"6,140,000,000","112,000,000","387,330","3,947","170,370","142,027","2,590",55,"1,630,122","126,000,000"
30d,3/11/19,Fortnite,"5,730,000,000","473,000,000","658,887","23,114","849,893","132,624","10,945",12,"5,814,740","95,679,417"
30d,3/11/19,Just Chatting,"3,410,000,000","48,732,060","211,835","2,336","129,474","78,909","1,128",70,"1,840,605","86,096,396"
30d,3/11/19,Counter-Strike: Global Offensive,"3,260,000,000","47,997,420","833,440","2,434","125,017","75,414","1,111",68,"1,112,402","76,792,246"
30d,3/11/19,Dota 2,"3,090,000,000","33,853,020","272,771","1,460","46,287","71,442",783,91,"493,366","56,490,799"
30d,3/11/19,Overwatch,"1,940,000,000","45,104,520","289,347","1,748","103,129","44,987","1,044",43,"503,684","31,021,498"
30d,3/11/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"1,100,000,000","46,576,800","113,196","1,770","70,866","25,428","1,078",24,"596,972","28,171,378"
30d,3/11/19,Hearthstone,"928,000,000","7,826,040","79,114",289,"15,719","21,473",181,119,"157,044","15,855,644"
30d,3/11/19,Grand Theft Auto V,"924,000,000","23,787,060","129,917","1,211","51,227","21,389",550,39,"390,402","15,475,553"
30d,3/11/19,World of Warcraft,"907,000,000","42,358,500","65,908","2,666","46,868","21,005",980,21,"214,651","22,426,470"
30d,3/11/19,Tom Clancy's Rainbow Six: Siege,"760,000,000","42,378,300","223,099","2,113","116,786","17,594",980,18,"421,365","11,470,890"
30d,3/11/19,FIFA 19,"669,000,000","16,150,200","92,237",991,"45,320","15,489",373,41,"284,437","10,335,252"
30d,3/11/19,Call of Duty: Black Ops 4,"614,000,000","51,426,840","141,895","2,290","100,611","14,204","1,190",12,"294,339","10,552,941"
30d,3/11/19,Anthem,"557,000,000","27,055,260","145,975","3,940","48,242","12,904",626,21,"128,214","11,780,125"
30d,3/11/19,Dead by Daylight,"451,000,000","22,113,600","50,797",878,"38,063","10,445",511,20,"148,428","7,087,729"
30d,3/11/19,StarCraft II,"432,000,000","4,037,820","69,828",159,"6,393","9,999",93,107,"79,619","13,387,514"
30d,3/11/19,Super Smash Bros. Ultimate,"425,000,000","7,294,260","96,871",462,"14,086","9,841",168,58,"187,261","6,618,448"
30d,3/11/19,Old School RuneScape,"422,000,000","7,220,820","34,040",271,"11,162","9,767",167,58,"121,850","4,947,746"
30d,3/11/19,Metro Exodus,"416,000,000","10,553,220","154,978","1,593","23,788","9,621",244,39,"210,802","7,612,327"
30d,3/11/19,Minecraft,"376,000,000","22,132,560","82,949",969,"57,576","8,705",512,17,"250,245","7,136,827"
30d,3/11/19,Magic: The Gathering,"371,000,000","5,211,780","60,503",217,"8,886","8,590",120,71,"77,082","5,849,672"
30d,3/11/19,Sea of Thieves,"370,000,000","11,569,620","57,195",716,"21,094","8,574",267,32,"92,577","4,637,050"
30d,3/11/19,Path of Exile,"361,000,000","7,205,220","99,134","2,922","10,437","8,354",166,50,"50,278","5,698,178"
30d,3/11/19,Music & Performing Arts,"356,000,000","13,294,860","32,127",438,"14,379","8,229",307,27,"189,501","5,416,973"
30d,3/11/19,Talk Shows & Podcasts,"332,000,000","4,335,120","126,696",609,"13,866","7,681",100,77,"75,190","14,243,004"
30d,3/11/19,Resident Evil 2,"328,000,000","15,484,500","40,603","1,011","43,366","7,588",358,21,"91,616","6,584,357"
30d,3/11/19,Devil May Cry 5,"279,000,000","7,182,360","140,428","2,636","22,163","6,457",166,39,"46,447","5,145,398"
30d,3/11/19,Slots,"275,000,000","2,353,620","36,417",97,"2,965","6,369",54,117,"45,587","2,371,550"
30d,3/11/19,Poker,"272,000,000","3,788,100","31,582",214,"3,749","6,294",87,72,"63,790","5,336,063"
30d,3/11/19,Rocket League,"260,000,000","15,491,880","62,205",720,"58,662","6,009",358,17,"164,045","5,393,901"
30d,3/11/19,Art,"251,000,000","15,570,660","13,910",571,"28,007","5,799",360,16,"153,529","5,390,801"
30d,3/11/19,World of Tanks,"206,000,000","7,942,980","19,646",466,"10,380","4,777",183,26,"51,769","4,230,449"
30d,3/11/19,Destiny 2,"182,000,000","16,874,820","33,877","1,691","31,551","4,222",390,11,"69,838","2,741,178"
30d,3/11/19,Games + Demos,"175,000,000","2,304,660","28,364",112,"7,367","4,039",53,76,"20,487","3,345,546"
30d,3/11/19,Warcraft III: The Frozen Throne,"174,000,000","2,210,100","38,299",99,"2,396","4,026",51,79,"15,345","2,398,993"
30d,3/11/19,Escape From Tarkov,"172,000,000","9,716,820","27,671",437,"10,492","3,987",224,18,"56,634","3,313,947"
30d,3/11/19,Black Desert Online,"172,000,000","7,565,340","13,922",256,"8,638","3,982",175,23,"45,279","3,793,232"
30d,3/11/19,ASMR,"158,000,000","2,167,680","10,028",71,"1,590","3,650",50,73,"70,390","1,580,773"
30d,3/11/19,Always On,"153,000,000","450,540","20,304",16,32,"3,546",10,340,"23,326","6,998,554"
30d,3/11/19,Far Cry: New Dawn,"142,000,000","3,808,920","54,881",558,"12,114","3,288",88,37,"31,392","3,659,831"
30d,3/11/19,NBA 2K19,"137,000,000","14,577,780","43,230",708,"35,734","3,163",337,9,"112,152","1,471,008"
30d,3/11/19,Sid Meier's Civilization VI,"131,000,000","2,093,280","68,833",170,"4,631","3,026",48,62,"17,973","2,850,973"
30d,3/11/19,Tom Clancy's The Division 2,"131,000,000","5,629,920","129,461","1,335","24,477","3,025",130,23,"33,910","3,736,424"
30d,3/11/19,ATLAS,"126,000,000","3,108,360","8,569",190,"2,654","2,905",71,40,"18,437","1,465,826"
30d,3/11/19,Tetris,"120,000,000","1,384,020","53,346",176,"6,237","2,771",32,86,"38,922","1,915,659"
30d,3/11/19,Smite,"119,000,000","7,198,920","10,306",342,"13,629","2,748",166,17,"30,701","1,670,511"
30d,3/11/19,Heroes of Might and Magic III: The Shadow of Death,"118,000,000","737,340","13,376",44,818,"2,735",17,160,"14,523","2,153,404"
30d,3/11/19,Dungeons & Dragons,"116,000,000","2,494,500","64,017",221,"4,055","2,680",57,46,"23,337","2,589,476"
30d,3/11/19,Dark Souls III,"110,000,000","5,704,020","18,803",219,"13,586","2,554",132,19,"26,060","2,201,527"
30d,3/12/19,Apex Legends,"7,240,000,000","364,000,000","666,868","18,932","683,905","167,493","8,417",20,"3,069,121","132,000,000"
30d,3/12/19,League of Legends,"6,070,000,000","111,000,000","387,330","3,947","169,744","140,399","2,580",54,"1,634,893","123,000,000"
30d,3/12/19,Fortnite,"5,730,000,000","467,000,000","658,887","23,114","845,915","132,542","10,817",12,"5,811,671","94,907,589"
30d,3/12/19,Just Chatting,"3,400,000,000","48,597,180","211,835","2,336","129,030","78,721","1,124",70,"1,839,412","85,295,732"
30d,3/12/19,Counter-Strike: Global Offensive,"3,290,000,000","47,748,840","833,440","2,434","124,454","76,186","1,105",69,"1,124,296","77,450,921"
30d,3/12/19,Dota 2,"3,080,000,000","33,774,600","272,771","1,456","46,184","71,256",781,91,"493,840","56,134,662"
30d,3/12/19,Overwatch,"1,970,000,000","44,839,020","289,347","1,748","102,725","45,534","1,037",44,"501,344","30,887,087"
30d,3/12/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"1,100,000,000","46,069,680","113,196","1,613","69,879","25,448","1,066",24,"587,999","28,126,797"
30d,3/12/19,Grand Theft Auto V,"979,000,000","23,735,460","136,209","1,211","51,226","22,657",549,41,"410,504","15,795,610"
30d,3/12/19,Hearthstone,"929,000,000","7,769,340","79,114",289,"15,621","21,498",179,120,"156,534","15,822,960"
30d,3/12/19,World of Warcraft,"888,000,000","42,337,920","65,908","2,666","46,841","20,547",980,21,"213,165","21,731,259"
30d,3/12/19,Tom Clancy's Rainbow Six: Siege,"771,000,000","42,415,440","223,099","2,113","116,717","17,837",981,18,"426,888","11,601,683"
30d,3/12/19,FIFA 19,"670,000,000","15,942,540","92,237",991,"44,957","15,507",369,42,"279,546","10,279,851"
30d,3/12/19,Call of Duty: Black Ops 4,"613,000,000","50,985,180","141,895","2,232","100,130","14,180","1,180",12,"294,122","10,561,703"
30d,3/12/19,Anthem,"561,000,000","27,396,480","145,975","3,940","48,583","12,996",634,20,"129,832","11,848,420"
30d,3/12/19,Dead by Daylight,"451,000,000","21,965,160","50,797",878,"37,871","10,435",508,21,"148,242","7,019,677"
30d,3/12/19,Super Smash Bros. Ultimate,"435,000,000","7,163,760","96,871",439,"13,901","10,076",165,61,"185,445","6,819,361"
30d,3/12/19,StarCraft II,"425,000,000","4,036,020","69,828",159,"6,417","9,829",93,105,"80,437","12,975,864"
30d,3/12/19,Old School RuneScape,"422,000,000","7,204,680","34,040",271,"11,129","9,776",166,59,"119,616","4,906,476"
30d,3/12/19,Metro Exodus,"418,000,000","10,683,720","154,978","1,593","24,035","9,675",247,39,"211,427","7,715,948"
30d,3/12/19,Path of Exile,"400,000,000","7,874,100","99,134","2,922","11,109","9,265",182,51,"56,002","6,187,929"
